[-0.0430708068, -1.7132609816, 9.990034354999999]; [1.046875, -0.5234375, 5.109375]; [-31.400000000000002, -22.400000000000002, -90.7]; 0.00044316399998933775
[-0.026321048599999997, -1.7012968685999998, 10.006784113199998]; [0.859375, -0.078125, 5.3125]; [-31.5, -21.700000000000003, -91.30000000000001]; 0.01327216300001055
[-0.08135596839999999, -1.6654045296, 9.9828558872]; [0.390625, 0.1484375, 5.1796875]; [-31.6, -23.3, -92.0]; 0.025546755999982906
[-0.09571290399999999, -1.6845471103999998, 9.9876415324]; [-2.375, 0.0234375, 5.203125]; [-31.900000000000002, -22.0, -92.9]; 0.037745627999981934
[-0.11246266219999998, -1.7108681589999999, 10.0187482262]; [-2.203125, -0.0234375, 5.1875]; [-32.6, -23.400000000000002, -92.10000000000001]; 0.0499606469999776
[-0.11964112999999998, -1.7347963849999999, 10.0163554036]; [-2.53125, -0.7734375, 5.171875]; [-31.0, -23.1, -91.5]; 0.062108536999971875
[-0.1339980656, -1.7778671918, 10.0235338714]; [-2.7265625, -1.1328125, 4.984375]; [-32.2, -22.6, -91.7]; 0.0742336870000031
[-0.09092725879999998, -1.8209379985999998, 10.009176935799998]; [-1.09375, -1.3671875, 4.828125]; [-31.3, -22.700000000000003, -91.60000000000001]; 0.08635342899998477
[-0.057427742399999995, -1.8185451759999998, 9.9756774194]; [-0.4296875, -1.4140625, 4.9296875]; [-31.5, -22.1, -90.5]; 0.09862046699998928
[-0.035892338999999995, -1.8233308212, 9.9804630646]; [0.6796875, -1.328125, 5.1796875]; [-31.3, -21.400000000000002, -91.80000000000001]; 0.10857481099998267
[-0.028713871199999998, -1.7922241274, 9.9684989516]; [0.8515625, -0.9765625, 5.1953125]; [-31.5, -21.900000000000002, -91.0]; 0.11882702499997322
[-0.0167497582, -1.7419748527999996, 9.9684989516]; [1.2890625, -0.71875, 5.3046875]; [-31.5, -21.900000000000002, -91.0]; 0.1286903139999822
[-0.047856451999999994, -1.7084753364, 9.9684989516]; [0.7265625, -0.5078125, 5.4140625]; [-32.0, -22.6, -92.2]; 0.13839321500000779
[-0.0334995164, -1.686939933, 9.961320483799998]; [0.265625, -0.25, 5.4140625]; [-31.900000000000002, -22.200000000000003, -91.10000000000001]; 0.14809487599995919
[-0.0885344362, -1.6534404165999999, 9.999605645399999]; [-0.640625, 0.4453125, 5.5625]; [-31.3, -21.5, -92.0]; 0.15779670299997406
[-0.10528419439999999, -1.6558332392, 9.9876415324]; [-0.7734375, 0.2734375, 5.453125]; [-31.700000000000003, -22.8, -92.7]; 0.16754793699999482
[-0.1339980656, -1.6845471103999998, 10.004391290600001]; [-1.6484375, -0.0234375, 5.3359375]; [-31.6, -21.700000000000003, -91.5]; 0.17724794899999097
[-0.1268195978, -1.7180466267999999, 10.042676452199998]; [-2.921875, -0.4140625, 5.25]; [-31.1, -22.3, -91.5]; 0.18694299899999578
